"Gene1","Gene2","Correlation"
"CD2","IL2RG",0.932560967308538
"CD2","CD48",0.926859145341328
"CD48","IL2RG",0.917980958655662
"CD48","IL12RB1",0.9174941531752
"ESAM","ROBO4",0.911348089327548
"CD2","ICOS",0.903712570352639
"PTPRB","TEK",0.90223676143673
"CD2","IL12RB1",0.899475950751424
"ICOS","TNFRSF9",0.89381504266793
"IL12RB1","MAP4K1",0.889787864435755
"CD48","MAP4K1",0.88707050934958
"CALCRL","TEK",0.885712956435086
"CD2","TNFRSF9",0.882664148741134
"CALCRL","PTPRB",0.881970546089572
"CD2","TRAT1",0.878261527410305
"ADAM12","RECK",0.875789903408627
"IL2RG","TNFRSF9",0.87269505392912
"CDH5","ROBO4",0.871603526879629
"IL2RG","MAP4K1",0.870832981669014
"CD48","ICOS",0.870511315284055
"IL12RB1","IL2RG",0.869175165815822
"LRCH2","RECK",0.86857472373831
"ARHGEF15","ROBO4",0.86785728958803
"ESAM","MCAM",0.867084624279429
"ICOS","IL2RG",0.864960500437042
"CCR2","CD2",0.864326406885313
"CD48","SAMSN1",0.863942995794215
"CD48","TNFRSF9",0.86304339166248
"CDH5","TEK",0.86186036429126
"CCR2","CD48",0.861546372897207
"ICOS","IL12RB1",0.860954647237669
"CDH5","ESAM",0.860656111640112
"CDH5","RHOJ",0.857423569933722
"GNG2","TGFBR2",0.856416098834299
"CD2","MAP4K1",0.856378930946452
"ADAM12","THBS2",0.856089871143851
"IL12RB1","TNFRSF9",0.852230548740374
"CD48","TRAT1",0.845106668766728
"LRP1","THBS2",0.842784774850893
"TNFRSF9","TNFSF13B",0.841027580522499
"ARHGEF15","CDH5",0.840170450476408
"RECK","THBS2",0.839453012776791
"CCR4","CD2",0.836547083439139
"SAMSN1","TNFSF13B",0.834334764903717
"IL2RG","TRAT1",0.834142556875322
"FILIP1L","RECK",0.832010080763806
"ICOS","TNFSF13B",0.82730297721771
"CDH5","PTPRB",0.825078267071503
"CCR2","IL12RB1",0.824607950045636
"IL12RB1","SAMSN1",0.824293195814788
"SAMSN1","TNFRSF9",0.822913466483123
"CALCRL","CDH5",0.821754989188293
"ADAM12","FILIP1L",0.821493246287961
"CLDN19","COL17A1",0.820430493987046
"NT5E","RECK",0.817041068162685
"CD2","SAMSN1",0.813974048368226
"CCR2","ICOS",0.813251456236059
"ARHGEF15","ESAM",0.812386507377397
"FBLN2","THBS2",0.811949975314449
"JAM2","RHOJ",0.810395364599598
"RECK","TGFBR2",0.810243159080691
"MAP4K1","TRAT1",0.810235805462673
"CCR4","CD48",0.809929803932965
"CCR2","CCR4",0.809745778645409
"FBLN2","LRP1",0.808285551722122
"CCR2","MAP4K1",0.807941083387477
"CCR2","TRAT1",0.806581694370088
"MCAM","ROBO4",0.805245465260803
